SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,0
eastwwtpB,6/10/19,0
southwwtp,6/10/19,0
saxapahaw,6/10/19,0
canecreekA,6/10/19,0
canecreekB,6/10/19,0
canecreekC,6/10/19,0
canecreekD,6/10/19,0
haw.canecreekconfluence,6/10/19,0
bynum,6/10/19,0
haw.64overpass,6/10/19,0
jordan.64overpass,6/10/19,0
jordan.farringtonpoint,6/10/19,0
eastwwtpA,6/17/19,0
eastwwtpB,6/17/19,0
southwwtp,6/17/19,0
saxapahaw,6/17/19,0
canecreekA,6/17/19,0
canecreekB,6/17/19,0
canecreekC,6/17/19,0
canecreekD,6/17/19,0
haw.canecreekconfluence,6/17/19,0
bynum,6/17/19,0
haw.64overpass,6/17/19,0
jordan.64overpass,6/17/19,0
jordan.farringtonpoint,6/17/19,0
eastwwtpA,6/24/19,0.45
eastwwtpB,6/24/19,0.44
southwwtp,6/24/19,0.51
saxapahaw,6/24/19,0.44
canecreekA,6/24/19,0.45
canecreekB,6/24/19,0.44
canecreekC,6/24/19,0.68
canecreekD,6/24/19,0.45
haw.canecreekconfluence,6/24/19,0.45
bynum,6/24/19,0.45
haw.64overpass,6/24/19,0.44
jordan.64overpass,6/24/19,0.47
jordan.farringtonpoint,6/24/19,0.45
eastwwtpA,7/1/19,0.47
eastwwtpB,7/1/19,0.44
southwwtp,7/1/19,0.46
saxapahaw,7/1/19,0.47
canecreekA,7/1/19,0.46
canecreekB,7/1/19,0.46
canecreekC,7/1/19,0.44
canecreekD,7/1/19,0.44
haw.canecreekconfluence,7/1/19,0.47
bynum,7/1/19,0.44
haw.64overpass,7/1/19,0.46
jordan.64overpass,7/1/19,0.45
jordan.farringtonpoint,7/1/19,0.45