SampleID,SiteID,date,DOC (mg/L),TDN (mg/L)
SWW0617,SWW,6/17/19,5.151,0.8433
CCD0617,CCD,6/17/19,5.407,1.344
CCB0617,CCB,6/17/19,3.826,1.252
EWWB0617,EWWB,6/17/19,5.244,1.055
HCCC017,HCC,6/17/19,4.952,0.665
HOVR0617,HOVR,6/17/19,4.966,0.6006
CCA0617,CCA,6/17/19,5.864,0.845
SAX0617,SAX,6/17/19,5.282,0.6112
JFAR0617,JFAR,6/17/19,6.901,0.3613
CCC0617,CCC,6/17/19,4.627,1.157
EWWA0617,EWWA,6/17/19,5.61,0.9753
JOVR0617,JOVR,6/17/19,5.951,0.3086
BYN0617,BYN,6/17/19,5.341,0.6721
fieldblank0624,blank,6/24/19,0.5894,<0.05
EWWB0624,EWWB,6/24/19,5.135,1.421
EWWA0624,EWWA,6/24/19,5.327,1.219
JFAR0624,JFAR,6/24/19,6.401,0.305
SWW0624,SWW,6/24/19,4.948,1.055
HOVR0624,HOVR,6/24/19,5.585,1.108
HCCC0624,HCCC,6/24/19,5.091,0.9731
BYN0624,BYN,6/24/19,5.181,0.9636
JOVR0624,JOVR,6/24/19,6.211,0.3054
CCC0624,CCC,6/24/19,5.83,1.297
CCD0624,CCD,6/24/19,5.894,1.222
SAX0624,SAX,6/24/19,5.276,0.7845
CCB0624,CCB,6/24/19,3.965,1.16
CCA0624,CCA,6/24/19,5.535,0.7969
JFAR0701,JFAR,7/1/19,7.698,0.3993
SWW0701,SWW,7/1/19,5.944,1.958
CCB0701,CCB,7/1/19,3.763,1.16
CCC0701,CCC,7/1/19,4.196,0.9968
CCA0701,CCA,7/1/19,3.026,1.227
BYN0701,BYN,7/1/19,5.611,1.185
HCCC0701,HCC,7/1/19,5.385,1.375
EWWA0701,EWWA,7/1/19,6.178,2.032
CCD0701,CCD,7/1/19,4.437,0.8917
JOVR0701,JOVR,7/1/19,6.311,0.3447
HOVR0701,HOVR,7/1/19,5.729,0.893
SAX0701,SAX,7/1/19,5.48,1.325